timestamp,heart rate zone,total minutes,data source
2025-08-13T17:07:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:08:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:09:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:10:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:11:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:12:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:37:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:38:00Z,FAT_BURN,1,Charge 6
2025-08-13T17:39:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:05:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:23:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:27:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:35:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:49:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:50:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:51:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:52:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:53:00Z,FAT_BURN,1,Charge 6
2025-08-13T18:54:00Z,FAT_BURN,1,Charge 6
2025-08-13T19:24:00Z,FAT_BURN,1,Charge 6
2025-08-13T19:25:00Z,FAT_BURN,1,Charge 6
2025-08-13T19:26:00Z,FAT_BURN,1,Charge 6
2025-08-13T19:27:00Z,FAT_BURN,1,Charge 6
2025-08-13T19:28:00Z,FAT_BURN,1,Charge 6
2025-08-13T22:56:00Z,FAT_BURN,1,Charge 6
2025-08-13T22:57:00Z,FAT_BURN,1,Charge 6
2025-08-13T22:58:00Z,FAT_BURN,1,Charge 6
2025-08-14T02:06:00Z,CARDIO,2,Charge 6
2025-08-14T02:07:00Z,CARDIO,2,Charge 6
2025-08-14T02:08:00Z,CARDIO,2,Charge 6
2025-08-14T02:09:00Z,CARDIO,2,Charge 6
2025-08-14T02:10:00Z,CARDIO,2,Charge 6
2025-08-14T02:11:00Z,CARDIO,2,Charge 6
2025-08-14T02:12:00Z,CARDIO,2,Charge 6
2025-08-14T02:13:00Z,CARDIO,2,Charge 6
2025-08-14T02:14:00Z,CARDIO,2,Charge 6
2025-08-14T02:15:00Z,CARDIO,2,Charge 6
2025-08-14T02:16:00Z,CARDIO,2,Charge 6
2025-08-14T02:17:00Z,CARDIO,2,Charge 6
2025-08-14T02:18:00Z,CARDIO,2,Charge 6
2025-08-14T02:19:00Z,CARDIO,2,Charge 6
2025-08-14T02:20:00Z,CARDIO,2,Charge 6
2025-08-14T02:21:00Z,CARDIO,2,Charge 6
2025-08-14T02:22:00Z,CARDIO,2,Charge 6
2025-08-14T02:23:00Z,CARDIO,2,Charge 6
2025-08-14T02:24:00Z,CARDIO,2,Charge 6
2025-08-14T02:25:00Z,CARDIO,2,Charge 6
2025-08-14T02:26:00Z,CARDIO,2,Charge 6
2025-08-14T02:27:00Z,CARDIO,2,Charge 6
2025-08-14T02:28:00Z,CARDIO,2,Charge 6
2025-08-14T02:29:00Z,CARDIO,2,Charge 6
2025-08-14T02:30:00Z,CARDIO,2,Charge 6
2025-08-14T02:31:00Z,CARDIO,2,Charge 6
2025-08-14T02:32:00Z,CARDIO,2,Charge 6
2025-08-14T02:33:00Z,CARDIO,2,Charge 6
2025-08-14T02:34:00Z,CARDIO,2,Charge 6
2025-08-14T02:35:00Z,CARDIO,2,Charge 6
2025-08-14T02:36:00Z,CARDIO,2,Charge 6
2025-08-14T02:37:00Z,CARDIO,2,Charge 6
2025-08-14T02:38:00Z,CARDIO,2,Charge 6
2025-08-14T02:39:00Z,CARDIO,2,Charge 6
