timestamp,distance,data source
2025-12-15T01:49:00Z,4.30,Charge 6
2025-12-15T01:57:00Z,15.90,Charge 6
2025-12-15T01:58:00Z,32.60,Charge 6
2025-12-15T01:59:00Z,4.30,Charge 6
2025-12-15T02:01:00Z,21.70,Charge 6
2025-12-15T02:02:00Z,12.30,Charge 6
2025-12-15T02:05:00Z,4.30,Charge 6
2025-12-15T02:43:00Z,5.00,Charge 6
2025-12-15T03:23:00Z,7.90,Charge 6
2025-12-15T03:24:00Z,0.70,Charge 6
2025-12-15T03:25:00Z,31.90,Charge 6
2025-12-15T07:28:00Z,11.60,Charge 6
2025-12-15T07:34:00Z,10.80,Charge 6
2025-12-15T07:39:00Z,2.90,Charge 6
2025-12-15T07:41:00Z,5.80,Charge 6
2025-12-15T10:21:00Z,5.80,Charge 6
2025-12-15T10:39:00Z,6.50,Charge 6
2025-12-15T16:29:00Z,34.80,Charge 6
2025-12-15T16:34:00Z,24.70,Charge 6
2025-12-15T16:35:00Z,44.30,Charge 6
2025-12-15T17:32:00Z,2.90,Charge 6
2025-12-15T17:33:00Z,41.40,Charge 6
2025-12-15T17:34:00Z,18.10,Charge 6
2025-12-15T17:39:00Z,2.90,Charge 6
2025-12-15T17:44:00Z,3.60,Charge 6
2025-12-15T17:46:00Z,3.60,Charge 6
2025-12-15T17:47:00Z,47.20,Charge 6
2025-12-15T17:48:00Z,1.40,Charge 6
2025-12-15T17:49:00Z,14.50,Charge 6
2025-12-15T17:51:00Z,15.90,Charge 6
2025-12-15T18:06:00Z,20.30,Charge 6
2025-12-15T18:07:00Z,34.10,Charge 6
2025-12-15T18:08:00Z,43.50,Charge 6
2025-12-15T19:00:00Z,8.70,Charge 6
2025-12-15T19:01:00Z,20.30,Charge 6
2025-12-15T19:02:00Z,31.90,Charge 6
2025-12-15T19:03:00Z,5.00,Charge 6
2025-12-15T19:05:00Z,4.30,Charge 6
2025-12-15T19:06:00Z,12.30,Charge 6
2025-12-15T19:07:00Z,4.30,Charge 6
2025-12-15T19:08:00Z,7.90,Charge 6
2025-12-15T19:09:00Z,53.70,Charge 6
2025-12-15T19:10:00Z,45.00,Charge 6
2025-12-15T19:12:00Z,9.40,Charge 6
2025-12-15T19:14:00Z,2.90,Charge 6
2025-12-15T19:16:00Z,6.50,Charge 6
2025-12-15T19:17:00Z,5.80,Charge 6
2025-12-15T19:25:00Z,18.80,Charge 6
2025-12-15T19:26:00Z,41.40,Charge 6
2025-12-15T19:27:00Z,2.10,Charge 6
2025-12-15T20:14:00Z,4.30,Charge 6
2025-12-15T20:17:00Z,12.30,Charge 6
2025-12-15T20:18:00Z,3.60,Charge 6
2025-12-15T20:20:00Z,28.30,Charge 6
2025-12-15T20:21:00Z,34.10,Charge 6
2025-12-15T20:22:00Z,15.90,Charge 6
2025-12-15T20:28:00Z,9.40,Charge 6
2025-12-15T20:32:00Z,34.80,Charge 6
2025-12-15T20:35:00Z,42.10,Charge 6
2025-12-15T20:36:00Z,6.50,Charge 6
2025-12-15T20:37:00Z,8.70,Charge 6
2025-12-15T20:39:00Z,6.80,Charge 6
2025-12-15T20:40:00Z,11.60,Charge 6
2025-12-15T20:41:00Z,0.60,Charge 6
2025-12-15T20:43:00Z,22.50,Charge 6
2025-12-15T20:44:00Z,15.10,Charge 6
2025-12-15T20:45:00Z,3.10,Charge 6
2025-12-15T20:46:00Z,6.20,Charge 6
2025-12-15T20:50:00Z,9.90,Charge 6
2025-12-15T20:51:00Z,6.60,Charge 6
2025-12-15T20:52:00Z,0.40,Charge 6
2025-12-15T20:59:00Z,22.60,Charge 6
2025-12-15T21:00:00Z,9.90,Charge 6
2025-12-15T21:04:00Z,0.10,Charge 6
2025-12-15T21:05:00Z,1.70,Charge 6
2025-12-15T21:08:00Z,3.20,Charge 6
2025-12-15T21:09:00Z,1.90,Charge 6
2025-12-15T21:12:00Z,6.00,Charge 6
2025-12-15T21:15:00Z,3.70,Charge 6
2025-12-15T21:16:00Z,1.40,Charge 6
2025-12-15T21:17:00Z,1.40,Charge 6
2025-12-15T21:18:00Z,5.00,Charge 6
2025-12-15T21:19:00Z,9.20,Charge 6
2025-12-15T21:20:00Z,3.20,Charge 6
2025-12-15T21:21:00Z,1.60,Charge 6
2025-12-15T21:24:00Z,2.00,Charge 6
2025-12-15T21:25:00Z,41.70,Charge 6
2025-12-15T21:26:00Z,21.00,Charge 6
2025-12-15T21:27:00Z,33.40,Charge 6
2025-12-15T21:28:00Z,73.30,Charge 6
2025-12-15T21:29:00Z,82.10,Charge 6
2025-12-15T21:30:00Z,77.00,Charge 6
2025-12-15T21:31:00Z,79.10,Charge 6
2025-12-15T21:32:00Z,76.20,Charge 6
2025-12-15T21:33:00Z,79.10,Charge 6
2025-12-15T21:34:00Z,68.20,Charge 6
2025-12-15T21:35:00Z,8.70,Charge 6
2025-12-15T21:43:00Z,9.40,Charge 6
2025-12-15T21:45:00Z,8.70,Charge 6
2025-12-15T21:46:00Z,32.60,Charge 6
2025-12-15T21:48:00Z,34.80,Charge 6
2025-12-15T21:49:00Z,84.20,Charge 6
2025-12-15T21:50:00Z,58.10,Charge 6
2025-12-15T21:51:00Z,10.10,Charge 6
2025-12-15T21:55:00Z,34.10,Charge 6
2025-12-15T21:56:00Z,30.50,Charge 6
2025-12-15T21:58:00Z,31.20,Charge 6
2025-12-15T21:59:00Z,4.30,Charge 6
2025-12-15T22:00:00Z,25.40,Charge 6
2025-12-15T22:01:00Z,26.80,Charge 6
2025-12-15T22:10:00Z,3.60,Charge 6
2025-12-15T22:12:00Z,21.00,Charge 6
2025-12-15T22:13:00Z,50.10,Charge 6
2025-12-15T22:14:00Z,26.10,Charge 6
2025-12-15T22:15:00Z,26.80,Charge 6
2025-12-15T22:16:00Z,11.60,Charge 6
2025-12-15T22:18:00Z,5.00,Charge 6
2025-12-15T22:19:00Z,45.00,Charge 6
2025-12-15T22:20:00Z,33.40,Charge 6
2025-12-15T22:22:00Z,5.00,Charge 6
2025-12-15T22:23:00Z,18.80,Charge 6
2025-12-15T22:24:00Z,31.20,Charge 6
2025-12-15T22:43:00Z,10.10,Charge 6
2025-12-15T22:45:00Z,14.50,Charge 6
