timestamp,heart rate zone,total minutes,data source
2026-01-01T02:28:00Z,FAT_BURN,1,Charge 6
2026-01-01T02:29:00Z,FAT_BURN,1,Charge 6
2026-01-02T23:40:00Z,FAT_BURN,1,Charge 6
2026-01-02T23:43:00Z,FAT_BURN,1,Charge 6
2026-01-02T23:45:00Z,FAT_BURN,1,Charge 6
2026-01-03T01:53:00Z,FAT_BURN,1,Charge 6
2026-01-03T07:34:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:08:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:09:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:10:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:12:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:13:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:14:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:15:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:16:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:17:00Z,FAT_BURN,1,Charge 6
2026-01-04T09:26:00Z,FAT_BURN,1,Charge 6
2026-01-04T17:18:00Z,FAT_BURN,1,Charge 6
2026-01-05T23:58:00Z,FAT_BURN,1,Charge 6
2026-01-06T05:23:00Z,FAT_BURN,1,Charge 6
2026-01-06T05:24:00Z,FAT_BURN,1,Charge 6
2026-01-06T05:43:00Z,FAT_BURN,1,Charge 6
2026-01-06T05:45:00Z,FAT_BURN,1,Charge 6
2026-01-06T05:46:00Z,FAT_BURN,1,Charge 6
2026-01-06T22:10:00Z,FAT_BURN,1,Charge 6
2026-01-06T22:11:00Z,FAT_BURN,1,Charge 6
2026-01-06T22:12:00Z,FAT_BURN,1,Charge 6
2026-01-06T22:13:00Z,FAT_BURN,1,Charge 6
2026-01-06T22:47:00Z,FAT_BURN,1,Charge 6
2026-01-06T22:48:00Z,FAT_BURN,1,Charge 6
2026-01-07T04:29:00Z,FAT_BURN,1,Charge 6
2026-01-07T04:30:00Z,FAT_BURN,1,Charge 6
2026-01-07T18:53:00Z,FAT_BURN,1,Charge 6
2026-01-07T18:54:00Z,FAT_BURN,1,Charge 6
2026-01-07T18:55:00Z,FAT_BURN,1,Charge 6
2026-01-07T18:57:00Z,FAT_BURN,1,Charge 6
2026-01-07T22:56:00Z,FAT_BURN,1,Charge 6
2026-01-07T22:57:00Z,FAT_BURN,1,Charge 6
2026-01-07T22:58:00Z,FAT_BURN,1,Charge 6
2026-01-07T22:59:00Z,FAT_BURN,1,Charge 6
2026-01-07T23:00:00Z,FAT_BURN,1,Charge 6
2026-01-07T23:01:00Z,FAT_BURN,1,Charge 6
2026-01-07T23:02:00Z,FAT_BURN,1,Charge 6
2026-01-07T23:03:00Z,FAT_BURN,1,Charge 6
2026-01-07T23:04:00Z,FAT_BURN,1,Charge 6
2026-01-07T23:05:00Z,FAT_BURN,1,Charge 6
2026-01-08T00:06:00Z,FAT_BURN,1,Charge 6
2026-01-08T00:07:00Z,FAT_BURN,1,Charge 6
2026-01-08T00:08:00Z,FAT_BURN,1,Charge 6
2026-01-08T00:09:00Z,FAT_BURN,1,Charge 6
2026-01-08T00:10:00Z,FAT_BURN,1,Charge 6
2026-01-08T00:11:00Z,FAT_BURN,1,Charge 6
2026-01-08T03:56:00Z,FAT_BURN,1,Charge 6
2026-01-08T03:57:00Z,FAT_BURN,1,Charge 6
2026-01-08T03:58:00Z,FAT_BURN,1,Charge 6
2026-01-08T03:59:00Z,FAT_BURN,1,Charge 6
2026-01-08T04:00:00Z,FAT_BURN,1,Charge 6
2026-01-08T04:01:00Z,FAT_BURN,1,Charge 6
2026-01-08T04:02:00Z,FAT_BURN,1,Charge 6
2026-01-08T05:02:00Z,FAT_BURN,1,Charge 6
2026-01-08T05:10:00Z,FAT_BURN,1,Charge 6
2026-01-08T05:12:00Z,FAT_BURN,1,Charge 6
2026-01-08T05:13:00Z,FAT_BURN,1,Charge 6
