timestamp,heart rate zone,total minutes,data source
2025-12-15T20:40:00Z,FAT_BURN,1,Charge 6
2025-12-15T20:44:00Z,FAT_BURN,1,Charge 6
2025-12-15T20:51:00Z,FAT_BURN,1,Charge 6
2025-12-15T20:52:00Z,FAT_BURN,1,Charge 6
2025-12-15T20:53:00Z,FAT_BURN,1,Charge 6
2025-12-15T20:54:00Z,FAT_BURN,1,Charge 6
2025-12-15T20:57:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:00:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:01:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:02:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:03:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:05:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:06:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:07:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:09:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:10:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:11:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:12:00Z,CARDIO,2,Charge 6
2025-12-15T21:13:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:15:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:16:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:17:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:18:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:19:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:20:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:21:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:22:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:23:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:24:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:25:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:26:00Z,FAT_BURN,1,Charge 6
2025-12-15T21:27:00Z,FAT_BURN,1,Charge 6
2025-12-16T22:27:00Z,FAT_BURN,1,Charge 6
2025-12-16T22:30:00Z,FAT_BURN,1,Charge 6
2025-12-16T22:31:00Z,FAT_BURN,1,Charge 6
2025-12-16T22:32:00Z,FAT_BURN,1,Charge 6
2025-12-16T22:33:00Z,FAT_BURN,1,Charge 6
2025-12-16T22:35:00Z,FAT_BURN,1,Charge 6
2025-12-16T22:36:00Z,FAT_BURN,1,Charge 6
